orig_split,cls,src,rawkey,name,path,w,h,fmt,mode,short
train,fire,flickr,11713547914,11713547914_dd11630b77_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/11713547914_dd11630b77_o.jpg,4000,3000,MPO,RGB,3000
train,fire,flickr,11826515394,11826515394_7959916eff_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/11826515394_7959916eff_o.jpg,2816,2112,JPEG,RGB,2112
train,fire,flickr,11875858055,11875858055_b291d73a36_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/11875858055_b291d73a36_o.jpg,2048,1536,JPEG,RGB,1536
train,fire,flickr,11876298944,11876298944_d12f714d39_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/11876298944_d12f714d39_o.jpg,2048,1536,JPEG,RGB,1536
train,fire,flickr,11876299854,11876299854_f22f787159_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/11876299854_f22f787159_o.jpg,2048,1536,JPEG,RGB,1536
train,fire,flickr,18983401442,18983401442_9023bb668c_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/18983401442_9023bb668c_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,19197957859,19197957859_cb989ed680_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/19197957859_cb989ed680_o.jpg,5184,3456,JPEG,RGB,3456
train,fire,flickr,20419875863,20419875863_40d4dbbea0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/20419875863_40d4dbbea0_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,20475688001,20475688001_740a054dc2_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/20475688001_740a054dc2_o.jpg,2064,1161,JPEG,RGB,1161
train,fire,flickr,20766695979,20766695979_328dc0d014_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/20766695979_328dc0d014_o.jpg,4000,2248,JPEG,RGB,2248
train,fire,flickr,20852908138,20852908138_6197e27db6_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/20852908138_6197e27db6_o.jpg,1024,768,JPEG,RGB,768
train,fire,flickr,21034703142,21034703142_ff5b7a78a9_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21034703142_ff5b7a78a9_o.jpg,1280,960,JPEG,RGB,960
train,fire,flickr,21114883420,21114883420_0cf47eb43a_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21114883420_0cf47eb43a_o.jpg,4128,2322,JPEG,RGB,2322
train,fire,flickr,21195497870,21195497870_9865f62d8b_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21195497870_9865f62d8b_o.jpg,8844,5008,JPEG,RGB,5008
train,fire,flickr,21195499370,21195499370_69227bf392_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21195499370_69227bf392_o.jpg,3789,5683,JPEG,RGB,3789
train,fire,flickr,21195741668,21195741668_17c1281e9c_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21195741668_17c1281e9c_o.jpg,9599,5327,JPEG,RGB,5327
train,fire,flickr,21253785740,21253785740_22d7735335_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21253785740_22d7735335_o.jpg,5041,3361,JPEG,RGB,3361
