model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp,arm,seed,best_epoch
aug_model_a_seed0,full test,476,0.334,0.666,0.7584,0.5965,0.8553,0.7098,0.7028,0.8551,225,92,23,136,aug_model_a,0,38
aug_model_a_seed0,source-matched (flickr),247,0.615,0.615,0.6923,0.7021,0.8684,0.4105,0.7765,0.7235,39,56,20,132,aug_model_a,0,38
aug_model_a_seed0,unsplash only,229,0.031,0.969,0.8297,0.1,0.5714,0.8378,0.1702,0.7812,186,36,3,4,aug_model_a,0,38
aug_model_a_seed1,full test,476,0.334,0.666,0.7248,0.5547,0.8931,0.6404,0.6843,0.8454,203,114,17,142,aug_model_a,1,36
aug_model_a_seed1,source-matched (flickr),247,0.615,0.615,0.6923,0.6919,0.9013,0.3579,0.7829,0.7198,34,61,15,137,aug_model_a,1,36
aug_model_a_seed1,unsplash only,229,0.031,0.969,0.7598,0.0862,0.7143,0.7613,0.1538,0.7465,169,53,2,5,aug_model_a,1,36
aug_model_a_seed2,full test,476,0.334,0.666,0.7437,0.5768,0.8742,0.6782,0.695,0.8489,215,102,20,139,aug_model_a,2,38
aug_model_a_seed2,source-matched (flickr),247,0.615,0.615,0.6964,0.7016,0.8816,0.4,0.7813,0.7262,38,57,18,134,aug_model_a,2,38
aug_model_a_seed2,unsplash only,229,0.031,0.969,0.7948,0.1,0.7143,0.7973,0.1754,0.7973,177,45,2,5,aug_model_a,2,38
aug_b0_scratch_seed0,full test,476,0.334,0.666,0.7962,0.6336,0.9245,0.7319,0.7519,0.8987,232,85,12,147,aug_b0_scratch,0,36
aug_b0_scratch_seed0,source-matched (flickr),247,0.615,0.615,0.7368,0.7186,0.9408,0.4105,0.8148,0.7664,39,56,9,143,aug_b0_scratch,0,36
aug_b0_scratch_seed0,unsplash only,229,0.031,0.969,0.8603,0.1212,0.5714,0.8694,0.2,0.8282,193,29,3,4,aug_b0_scratch,0,36
aug_b0_scratch_seed1,full test,476,0.334,0.666,0.8466,0.7172,0.8931,0.8233,0.7955,0.93,261,56,17,142,aug_b0_scratch,1,38
aug_b0_scratch_seed1,source-matched (flickr),247,0.615,0.615,0.7733,0.7667,0.9079,0.5579,0.8313,0.8544,53,42,14,138,aug_b0_scratch,1,38
aug_b0_scratch_seed1,unsplash only,229,0.031,0.969,0.9258,0.2222,0.5714,0.9369,0.32,0.87,208,14,3,4,aug_b0_scratch,1,38
aug_b0_scratch_seed2,full test,476,0.334,0.666,0.7941,0.6332,0.9119,0.735,0.7474,0.9123,233,84,14,145,aug_b0_scratch,2,37
aug_b0_scratch_seed2,source-matched (flickr),247,0.615,0.615,0.749,0.7394,0.9145,0.4842,0.8176,0.8149,46,49,13,139,aug_b0_scratch,2,37
aug_b0_scratch_seed2,unsplash only,229,0.031,0.969,0.8428,0.1463,0.8571,0.8423,0.25,0.8443,187,35,1,6,aug_b0_scratch,2,37
aug_b0_pretrained_seed0,full test,476,0.334,0.666,0.9013,0.8218,0.8994,0.9022,0.8589,0.9696,286,31,16,143,aug_b0_pretrained,0,36
aug_b0_pretrained_seed0,source-matched (flickr),247,0.615,0.615,0.8381,0.8457,0.9013,0.7368,0.8726,0.9327,70,25,15,137,aug_b0_pretrained,0,36
aug_b0_pretrained_seed0,unsplash only,229,0.031,0.969,0.9694,0.5,0.8571,0.973,0.6316,0.9472,216,6,1,6,aug_b0_pretrained,0,36
aug_b0_pretrained_seed1,full test,476,0.334,0.666,0.9118,0.8774,0.8553,0.9401,0.8662,0.9709,298,19,23,136,aug_b0_pretrained,1,37
aug_b0_pretrained_seed1,source-matched (flickr),247,0.615,0.615,0.8462,0.8851,0.8618,0.8211,0.8733,0.9358,78,17,21,131,aug_b0_pretrained,1,37
aug_b0_pretrained_seed1,unsplash only,229,0.031,0.969,0.9825,0.7143,0.7143,0.991,0.7143,0.9607,220,2,2,5,aug_b0_pretrained,1,37
aug_b0_pretrained_seed2,full test,476,0.334,0.666,0.8739,0.7513,0.9308,0.8454,0.8315,0.9701,268,49,11,148,aug_b0_pretrained,2,35
aug_b0_pretrained_seed2,source-matched (flickr),247,0.615,0.615,0.8219,0.8068,0.9342,0.6421,0.8659,0.9341,61,34,10,142,aug_b0_pretrained,2,35
aug_b0_pretrained_seed2,unsplash only,229,0.031,0.969,0.9301,0.2857,0.8571,0.9324,0.4286,0.9607,207,15,1,6,aug_b0_pretrained,2,35
