model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp,arm,n_train,seed,epochs,best_epoch,best_val_auc
b0_pretrained_n100_seed0,full test,476,0.334,0.666,0.8445,0.7374,0.8302,0.8517,0.7811,0.9064,270,47,27,132,b0_pretrained,100,0,120,94,0.8847058823529412
b0_pretrained_n100_seed0,source-matched (flickr),247,0.615,0.615,0.8057,0.8421,0.8421,0.7474,0.8421,0.8649,71,24,24,128,b0_pretrained,100,0,120,94,0.8847058823529412
b0_pretrained_n100_seed0,unsplash only,229,0.031,0.969,0.8865,0.1481,0.5714,0.8964,0.2353,0.8095,199,23,3,4,b0_pretrained,100,0,120,94,0.8847058823529412
b0_pretrained_n250_seed0,full test,476,0.334,0.666,0.8718,0.7606,0.8994,0.858,0.8242,0.9501,272,45,16,143,b0_pretrained,250,0,120,76,0.9390117647058823
b0_pretrained_n250_seed0,source-matched (flickr),247,0.615,0.615,0.8421,0.8466,0.9079,0.7368,0.8762,0.9153,70,25,14,138,b0_pretrained,250,0,120,76,0.9390117647058823
b0_pretrained_n250_seed0,unsplash only,229,0.031,0.969,0.9039,0.2,0.7143,0.9099,0.3125,0.9163,202,20,2,5,b0_pretrained,250,0,120,76,0.9390117647058823
b0_pretrained_n500_seed0,full test,476,0.334,0.666,0.8697,0.7366,0.9497,0.8297,0.8297,0.9664,263,54,8,151,b0_pretrained,500,0,120,54,0.9748235294117648
b0_pretrained_n500_seed0,source-matched (flickr),247,0.615,0.615,0.8259,0.8011,0.9539,0.6211,0.8709,0.931,59,36,7,145,b0_pretrained,500,0,120,54,0.9748235294117648
b0_pretrained_n500_seed0,unsplash only,229,0.031,0.969,0.917,0.25,0.8571,0.9189,0.3871,0.9511,204,18,1,6,b0_pretrained,500,0,120,54,0.9748235294117648
b0_pretrained_n1000_seed0,full test,476,0.334,0.666,0.9013,0.8043,0.9308,0.8864,0.863,0.9708,281,36,11,148,b0_pretrained,1000,0,72,39,0.9796235294117648
b0_pretrained_n1000_seed0,source-matched (flickr),247,0.615,0.615,0.8381,0.8218,0.9408,0.6737,0.8773,0.9314,64,31,9,143,b0_pretrained,1000,0,72,39,0.9796235294117648
b0_pretrained_n1000_seed0,unsplash only,229,0.031,0.969,0.9694,0.5,0.7143,0.9775,0.5882,0.9801,217,5,2,5,b0_pretrained,1000,0,72,39,0.9796235294117648
b0_pretrained_n100_seed1,full test,476,0.334,0.666,0.7731,0.6321,0.7673,0.776,0.6932,0.8568,246,71,37,122,b0_pretrained,100,1,120,91,0.9031294117647058
b0_pretrained_n100_seed1,source-matched (flickr),247,0.615,0.615,0.6964,0.7391,0.7829,0.5579,0.7604,0.7852,53,42,33,119,b0_pretrained,100,1,120,91,0.9031294117647058
b0_pretrained_n100_seed1,unsplash only,229,0.031,0.969,0.8559,0.0938,0.4286,0.8694,0.1538,0.5161,193,29,4,3,b0_pretrained,100,1,120,91,0.9031294117647058
b0_pretrained_n250_seed1,full test,476,0.334,0.666,0.8655,0.7778,0.8365,0.8801,0.8061,0.9332,279,38,26,133,b0_pretrained,250,1,120,60,0.9532941176470587
b0_pretrained_n250_seed1,source-matched (flickr),247,0.615,0.615,0.8178,0.8497,0.8553,0.7579,0.8525,0.8841,72,23,22,130,b0_pretrained,250,1,120,60,0.9532941176470587
b0_pretrained_n250_seed1,unsplash only,229,0.031,0.969,0.917,0.1667,0.4286,0.9324,0.24,0.8462,207,15,4,3,b0_pretrained,250,1,120,60,0.9532941176470587
b0_pretrained_n500_seed1,full test,476,0.334,0.666,0.8887,0.788,0.9119,0.877,0.8455,0.9629,278,39,14,145,b0_pretrained,500,1,120,60,0.9751529411764707
b0_pretrained_n500_seed1,source-matched (flickr),247,0.615,0.615,0.8259,0.8225,0.9145,0.6842,0.866,0.9222,65,30,13,139,b0_pretrained,500,1,120,60,0.9751529411764707
