model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp,arm,n_train,seed,epochs,best_epoch,best_val_auc
b0_scratch_n100_seed0,full test,476,0.334,0.666,0.7332,0.58,0.7296,0.735,0.6462,0.8134,233,84,43,116,b0_scratch,100,0,120,30,0.7889411764705881
b0_scratch_n100_seed0,source-matched (flickr),247,0.615,0.615,0.6599,0.7208,0.7303,0.5474,0.7255,0.684,52,43,41,111,b0_scratch,100,0,120,30,0.7889411764705881
b0_scratch_n100_seed0,unsplash only,229,0.031,0.969,0.8122,0.1087,0.7143,0.8153,0.1887,0.8044,181,41,2,5,b0_scratch,100,0,120,30,0.7889411764705881
b0_scratch_n250_seed0,full test,476,0.334,0.666,0.7416,0.6011,0.673,0.776,0.635,0.8209,246,71,52,107,b0_scratch,250,0,120,23,0.8089176470588235
b0_scratch_n250_seed0,source-matched (flickr),247,0.615,0.615,0.6559,0.7376,0.6842,0.6105,0.7099,0.7276,58,37,48,104,b0_scratch,250,0,120,23,0.8089176470588235
b0_scratch_n250_seed0,unsplash only,229,0.031,0.969,0.8341,0.0811,0.4286,0.8468,0.1364,0.7181,188,34,4,3,b0_scratch,250,0,120,23,0.8089176470588235
b0_scratch_n500_seed0,full test,476,0.334,0.666,0.8025,0.6702,0.805,0.8013,0.7314,0.8861,254,63,31,128,b0_scratch,500,0,120,52,0.8886117647058823
b0_scratch_n500_seed0,source-matched (flickr),247,0.615,0.615,0.7206,0.7578,0.8026,0.5895,0.7796,0.7659,56,39,30,122,b0_scratch,500,0,120,52,0.8886117647058823
b0_scratch_n500_seed0,unsplash only,229,0.031,0.969,0.8908,0.2,0.8571,0.8919,0.3243,0.9099,198,24,1,6,b0_scratch,500,0,120,52,0.8886117647058823
b0_scratch_n1000_seed0,full test,476,0.334,0.666,0.8508,0.7245,0.8931,0.8297,0.8,0.9178,263,54,17,142,b0_scratch,1000,0,72,64,0.9266823529411764
b0_scratch_n1000_seed0,source-matched (flickr),247,0.615,0.615,0.7935,0.7953,0.8947,0.6316,0.8421,0.8222,60,35,16,136,b0_scratch,1000,0,72,64,0.9266823529411764
b0_scratch_n1000_seed0,unsplash only,229,0.031,0.969,0.9127,0.24,0.8571,0.9144,0.375,0.9434,203,19,1,6,b0_scratch,1000,0,72,64,0.9266823529411764
b0_scratch_n100_seed1,full test,476,0.334,0.666,0.7164,0.5984,0.4591,0.8454,0.5196,0.6957,268,49,86,73,b0_scratch,100,1,120,12,0.7006705882352942
b0_scratch_n100_seed1,source-matched (flickr),247,0.615,0.615,0.5709,0.7347,0.4737,0.7263,0.576,0.6099,69,26,80,72,b0_scratch,100,1,120,12,0.7006705882352942
b0_scratch_n100_seed1,unsplash only,229,0.031,0.969,0.8734,0.0417,0.1429,0.8964,0.0645,0.2426,199,23,6,1,b0_scratch,100,1,120,12,0.7006705882352942
b0_scratch_n250_seed1,full test,476,0.334,0.666,0.7101,0.5409,0.8742,0.6278,0.6683,0.814,199,118,20,139,b0_scratch,250,1,120,10,0.8108705882352941
b0_scratch_n250_seed1,source-matched (flickr),247,0.615,0.615,0.7126,0.7143,0.8882,0.4316,0.7918,0.7232,41,54,17,135,b0_scratch,250,1,120,10,0.8108705882352941
b0_scratch_n250_seed1,unsplash only,229,0.031,0.969,0.7074,0.0588,0.5714,0.7117,0.1067,0.7593,158,64,3,4,b0_scratch,250,1,120,10,0.8108705882352941
b0_scratch_n500_seed1,full test,476,0.334,0.666,0.7122,0.5423,0.8868,0.6246,0.673,0.8453,198,119,18,141,b0_scratch,500,1,120,12,0.810564705882353
b0_scratch_n500_seed1,source-matched (flickr),247,0.615,0.615,0.7126,0.712,0.8947,0.4211,0.793,0.7623,40,55,16,136,b0_scratch,500,1,120,12,0.810564705882353
b0_scratch_n500_seed1,unsplash only,229,0.031,0.969,0.7118,0.0725,0.7143,0.7117,0.1316,0.8166,158,64,2,5,b0_scratch,500,1,120,12,0.810564705882353
b0_scratch_n1000_seed1,full test,476,0.334,0.666,0.8214,0.685,0.8616,0.8013,0.7632,0.9131,254,63,22,137,b0_scratch,1000,1,72,56,0.9218117647058823
b0_scratch_n1000_seed1,source-matched (flickr),247,0.615,0.615,0.7692,0.7811,0.8684,0.6105,0.8224,0.8445,58,37,20,132,b0_scratch,1000,1,72,56,0.9218117647058823
b0_scratch_n1000_seed1,unsplash only,229,0.031,0.969,0.8777,0.1613,0.7143,0.8829,0.2632,0.8925,196,26,2,5,b0_scratch,1000,1,72,56,0.9218117647058823
b0_scratch_n100_seed2,full test,476,0.334,0.666,0.6765,0.5105,0.7673,0.6309,0.6131,0.752,200,117,37,122,b0_scratch,100,2,120,23,0.7126117647058825
b0_scratch_n100_seed2,source-matched (flickr),247,0.615,0.615,0.668,0.7108,0.7763,0.4947,0.7421,0.6656,47,48,34,118,b0_scratch,100,2,120,23,0.7126117647058825
b0_scratch_n100_seed2,unsplash only,229,0.031,0.969,0.6856,0.0548,0.5714,0.6892,0.1,0.7098,153,69,3,4,b0_scratch,100,2,120,23,0.7126117647058825
b0_scratch_n250_seed2,full test,476,0.334,0.666,0.7626,0.6198,0.7484,0.7697,0.6781,0.8134,244,73,40,119,b0_scratch,250,2,120,28,0.7948
b0_scratch_n250_seed2,source-matched (flickr),247,0.615,0.615,0.7045,0.7582,0.7632,0.6105,0.7607,0.7376,58,37,36,116,b0_scratch,250,2,120,28,0.7948
b0_scratch_n250_seed2,unsplash only,229,0.031,0.969,0.8253,0.0769,0.4286,0.8378,0.1304,0.7445,186,36,4,3,b0_scratch,250,2,120,28,0.7948
b0_scratch_n500_seed2,full test,476,0.334,0.666,0.792,0.6562,0.7925,0.7918,0.7179,0.8699,251,66,33,126,b0_scratch,500,2,120,34,0.8827529411764706
b0_scratch_n500_seed2,source-matched (flickr),247,0.615,0.615,0.7004,0.7349,0.8026,0.5368,0.7673,0.7388,51,44,30,122,b0_scratch,500,2,120,34,0.8827529411764706
b0_scratch_n500_seed2,unsplash only,229,0.031,0.969,0.8908,0.1538,0.5714,0.9009,0.2424,0.8533,200,22,3,4,b0_scratch,500,2,120,34,0.8827529411764706
b0_scratch_n1000_seed2,full test,476,0.334,0.666,0.855,0.7419,0.8679,0.8486,0.8,0.9228,269,48,21,138,b0_scratch,1000,2,72,20,0.9092705882352942
b0_scratch_n1000_seed2,source-matched (flickr),247,0.615,0.615,0.8138,0.8272,0.8816,0.7053,0.8535,0.8578,67,28,18,134,b0_scratch,1000,2,72,20,0.9092705882352942
b0_scratch_n1000_seed2,unsplash only,229,0.031,0.969,0.8996,0.1667,0.5714,0.9099,0.2581,0.7799,202,20,3,4,b0_scratch,1000,2,72,20,0.9092705882352942
