model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp,arm,n_train,seed,epochs,best_epoch,best_val_auc
model_a_n100_seed0,full test,476,0.334,0.666,0.6197,0.4623,0.8491,0.5047,0.5987,0.7565,160,157,24,135,model_a,100,0,120,10,0.7612235294117647
model_a_n100_seed0,source-matched (flickr),247,0.615,0.615,0.6478,0.6667,0.8553,0.3158,0.7493,0.6553,30,65,22,130,model_a,100,0,120,10,0.7612235294117647
model_a_n100_seed0,unsplash only,229,0.031,0.969,0.5895,0.0515,0.7143,0.5856,0.0962,0.7053,130,92,2,5,model_a,100,0,120,10,0.7612235294117647
model_a_n250_seed0,full test,476,0.334,0.666,0.7374,0.5746,0.8239,0.694,0.677,0.8188,220,97,28,131,model_a,250,0,120,29,0.8253176470588236
model_a_n250_seed0,source-matched (flickr),247,0.615,0.615,0.7085,0.7299,0.8355,0.5053,0.7791,0.7096,48,47,25,127,model_a,250,0,120,29,0.8253176470588236
model_a_n250_seed0,unsplash only,229,0.031,0.969,0.7686,0.0741,0.5714,0.7748,0.1311,0.7342,172,50,3,4,model_a,250,0,120,29,0.8253176470588236
model_a_n500_seed0,full test,476,0.334,0.666,0.708,0.5413,0.8239,0.6498,0.6534,0.8129,206,111,28,131,model_a,500,0,120,18,0.8386588235294118
model_a_n500_seed0,source-matched (flickr),247,0.615,0.615,0.6842,0.7056,0.8355,0.4421,0.7651,0.6914,42,53,25,127,model_a,500,0,120,18,0.8386588235294118
model_a_n500_seed0,unsplash only,229,0.031,0.969,0.7336,0.0645,0.5714,0.7387,0.1159,0.7394,164,58,3,4,model_a,500,0,120,18,0.8386588235294118
model_a_n1000_seed0,full test,476,0.334,0.666,0.7563,0.5956,0.8428,0.7129,0.6979,0.8433,226,91,25,134,model_a,1000,0,72,20,0.8578588235294118
model_a_n1000_seed0,source-matched (flickr),247,0.615,0.615,0.7126,0.7288,0.8487,0.4947,0.7842,0.7256,47,48,23,129,model_a,1000,0,72,20,0.8578588235294118
model_a_n1000_seed0,unsplash only,229,0.031,0.969,0.8035,0.1042,0.7143,0.8063,0.1818,0.816,179,43,2,5,model_a,1000,0,72,20,0.8578588235294118
model_a_n100_seed1,full test,476,0.334,0.666,0.7164,0.575,0.5786,0.7855,0.5768,0.7282,249,68,67,92,model_a,100,1,120,4,0.7140235294117647
model_a_n100_seed1,source-matched (flickr),247,0.615,0.615,0.6113,0.7222,0.5987,0.6316,0.6547,0.653,60,35,61,91,model_a,100,1,120,4,0.7140235294117647
model_a_n100_seed1,unsplash only,229,0.031,0.969,0.8297,0.0294,0.1429,0.8514,0.0488,0.3391,189,33,6,1,model_a,100,1,120,4,0.7140235294117647
model_a_n250_seed1,full test,476,0.334,0.666,0.7122,0.5561,0.6855,0.7256,0.6141,0.781,230,87,50,109,model_a,250,1,120,27,0.8075764705882353
model_a_n250_seed1,source-matched (flickr),247,0.615,0.615,0.6275,0.6948,0.7039,0.5053,0.6993,0.6601,48,47,45,107,model_a,250,1,120,27,0.8075764705882353
model_a_n250_seed1,unsplash only,229,0.031,0.969,0.8035,0.0476,0.2857,0.8198,0.0816,0.5991,182,40,5,2,model_a,250,1,120,27,0.8075764705882353
model_a_n500_seed1,full test,476,0.334,0.666,0.7332,0.5741,0.7799,0.7098,0.6613,0.8071,225,92,35,124,model_a,500,1,120,17,0.8099294117647059
model_a_n500_seed1,source-matched (flickr),247,0.615,0.615,0.6761,0.7118,0.7961,0.4842,0.7516,0.6798,46,49,31,121,model_a,500,1,120,17,0.8099294117647059
model_a_n500_seed1,unsplash only,229,0.031,0.969,0.7948,0.0652,0.4286,0.8063,0.1132,0.6969,179,43,4,3,model_a,500,1,120,17,0.8099294117647059
model_a_n1000_seed1,full test,476,0.334,0.666,0.7731,0.6186,0.8365,0.7413,0.7112,0.8594,235,82,26,133,model_a,1000,1,72,71,0.8885647058823529
model_a_n1000_seed1,source-matched (flickr),247,0.615,0.615,0.6842,0.7033,0.8421,0.4316,0.7665,0.7409,41,54,24,128,model_a,1000,1,72,71,0.8885647058823529
model_a_n1000_seed1,unsplash only,229,0.031,0.969,0.869,0.1515,0.7143,0.8739,0.25,0.8172,194,28,2,5,model_a,1000,1,72,71,0.8885647058823529
model_a_n100_seed2,full test,476,0.334,0.666,0.6849,0.5209,0.7044,0.6751,0.5989,0.7614,214,103,47,112,model_a,100,2,120,8,0.7493647058823529
model_a_n100_seed2,source-matched (flickr),247,0.615,0.615,0.6397,0.6981,0.7303,0.4947,0.7138,0.6789,47,48,41,111,model_a,100,2,120,8,0.7493647058823529
model_a_n100_seed2,unsplash only,229,0.031,0.969,0.7336,0.0179,0.1429,0.7523,0.0317,0.4781,167,55,6,1,model_a,100,2,120,8,0.7493647058823529
model_a_n250_seed2,full test,476,0.334,0.666,0.7122,0.5534,0.717,0.7098,0.6247,0.7783,225,92,45,114,model_a,250,2,120,11,0.7721647058823529
model_a_n250_seed2,source-matched (flickr),247,0.615,0.615,0.7004,0.7671,0.7368,0.6421,0.7517,0.7184,61,34,40,112,model_a,250,2,120,11,0.7721647058823529
model_a_n250_seed2,unsplash only,229,0.031,0.969,0.7249,0.0333,0.2857,0.7387,0.0597,0.668,164,58,5,2,model_a,250,2,120,11,0.7721647058823529
model_a_n500_seed2,full test,476,0.334,0.666,0.7479,0.599,0.7421,0.7508,0.6629,0.8342,238,79,41,118,model_a,500,2,120,40,0.864564705882353
model_a_n500_seed2,source-matched (flickr),247,0.615,0.615,0.6883,0.7389,0.7632,0.5684,0.7508,0.7267,54,41,36,116,model_a,500,2,120,40,0.864564705882353
model_a_n500_seed2,unsplash only,229,0.031,0.969,0.8122,0.05,0.2857,0.8288,0.0851,0.7149,184,38,5,2,model_a,500,2,120,40,0.864564705882353
model_a_n1000_seed2,full test,476,0.334,0.666,0.7332,0.5696,0.8239,0.6877,0.6735,0.8313,218,99,28,131,model_a,1000,2,72,18,0.8390117647058823
model_a_n1000_seed2,source-matched (flickr),247,0.615,0.615,0.6883,0.7095,0.8355,0.4526,0.7674,0.7145,43,52,25,127,model_a,1000,2,72,18,0.8390117647058823
model_a_n1000_seed2,unsplash only,229,0.031,0.969,0.7817,0.0784,0.5714,0.7883,0.1379,0.7902,175,47,3,4,model_a,1000,2,72,18,0.8390117647058823
