model,params,disk_mb,device,batch,median_ms,p95_ms,imgs_per_s
"A (94k, scratch)",93601,0.38,cuda,1,0.573,0.641,1745.4
"A (94k, scratch)",93601,0.38,cuda,32,8.402,8.43,3808.8
"A (94k, scratch)",93601,0.38,cpu,1,11.189,12.206,89.4
"A (94k, scratch)",93601,0.38,cpu,32,491.776,516.6,65.1
"B0 (4M, scratch)",4008829,16.31,cuda,1,7.918,8.374,126.3
"B0 (4M, scratch)",4008829,16.31,cuda,32,19.0,19.197,1684.2
"B0 (4M, scratch)",4008829,16.31,cpu,1,25.029,28.844,40.0
"B0 (4M, scratch)",4008829,16.31,cpu,32,499.222,539.467,64.1
"B0 (4M, pretrained)",4008829,16.31,cuda,1,8.911,10.054,112.2
"B0 (4M, pretrained)",4008829,16.31,cuda,32,19.274,19.489,1660.3
"B0 (4M, pretrained)",4008829,16.31,cpu,1,28.347,36.726,35.3
"B0 (4M, pretrained)",4008829,16.31,cpu,32,532.022,572.633,60.1
