model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
model_b_pretrained_seed0,full test,476,0.334,0.666,0.8866,0.772,0.9371,0.8612,0.8466,0.975,273,44,10,149
model_b_pretrained_seed0,source-matched (flickr),247,0.615,0.615,0.83,0.809,0.9474,0.6421,0.8727,0.9397,61,34,8,144
model_b_pretrained_seed0,unsplash only,229,0.031,0.969,0.9476,0.3333,0.7143,0.955,0.4545,0.971,212,10,2,5
model_b_pretrained_seed1,full test,476,0.334,0.666,0.8992,0.8033,0.9245,0.8864,0.8596,0.9778,281,36,12,147
model_b_pretrained_seed1,source-matched (flickr),247,0.615,0.615,0.8381,0.8294,0.9276,0.6947,0.8758,0.9448,66,29,11,141
model_b_pretrained_seed1,unsplash only,229,0.031,0.969,0.9651,0.4615,0.8571,0.9685,0.6,0.9807,215,7,1,6
model_b_pretrained_seed2,full test,476,0.334,0.666,0.8971,0.7865,0.9497,0.8707,0.8604,0.9756,276,41,8,151
model_b_pretrained_seed2,source-matched (flickr),247,0.615,0.615,0.8421,0.8192,0.9539,0.6632,0.8815,0.9427,63,32,7,145
model_b_pretrained_seed2,unsplash only,229,0.031,0.969,0.9563,0.4,0.8571,0.9595,0.5455,0.9755,213,9,1,6
model_b_scratch_seed0,full test,476,0.334,0.666,0.8634,0.7527,0.8805,0.8549,0.8116,0.933,271,46,19,140
model_b_scratch_seed0,source-matched (flickr),247,0.615,0.615,0.8016,0.8084,0.8882,0.6632,0.8464,0.8623,63,32,17,135
model_b_scratch_seed0,unsplash only,229,0.031,0.969,0.9301,0.2632,0.7143,0.9369,0.3846,0.8649,208,14,2,5
model_b_scratch_seed1,full test,476,0.334,0.666,0.8424,0.7059,0.9057,0.8107,0.7934,0.9366,257,60,15,144
model_b_scratch_seed1,source-matched (flickr),247,0.615,0.615,0.7935,0.7886,0.9079,0.6105,0.844,0.8587,58,37,14,138
model_b_scratch_seed1,unsplash only,229,0.031,0.969,0.8952,0.2069,0.8571,0.8964,0.3333,0.9717,199,23,1,6
model_b_scratch_seed2,full test,476,0.334,0.666,0.813,0.6591,0.9119,0.7634,0.7652,0.9219,242,75,14,145
model_b_scratch_seed2,source-matched (flickr),247,0.615,0.615,0.7611,0.7435,0.9342,0.4842,0.828,0.8441,46,49,10,142
model_b_scratch_seed2,unsplash only,229,0.031,0.969,0.869,0.1034,0.4286,0.8829,0.1667,0.8057,196,26,4,3
